Position [um],Voltage [V]
30.488756,-0.000021
30.522854,-0.000001
30.556952,0.000009
30.591049,-0.000001
30.625147,-0.000004
30.659245,0.000001
30.693342,0.000009
30.727440,0.000008
30.761538,0.000012
30.795635,0.000009
30.829733,-0.000001
30.863831,0.000001
30.897928,0.000007
30.932026,0.000016
30.966124,0.000016
31.000221,0.000018
31.034319,0.000021
31.068417,0.000005
31.102514,-0.000006
31.136612,0.000007
31.170710,-0.000007
31.204807,-0.000019
31.238905,-0.000026
31.273003,-0.000022
31.307100,-0.000026
31.341198,-0.000016
31.375296,-0.000016
31.409393,-0.000018
31.443491,-0.000013
31.477589,-0.000019
31.511686,-0.000010
31.545784,-0.000024
31.579882,-0.000012
31.613979,-0.000024
31.648077,-0.000018
31.682175,-0.000002
31.716272,-0.000000
31.750370,0.000007
31.784468,-0.000010
31.818565,-0.000004
31.852663,-0.000004
31.886761,0.000013
31.920858,0.000027
31.954956,0.000033
31.989054,0.000003
32.023151,0.000011
32.057249,0.000014
32.091347,0.000017
32.125444,0.000008
32.159542,0.000018
32.193640,0.000026
32.227737,-0.000003
32.261835,0.000014
32.295933,0.000018
32.330030,-0.000001
32.364128,-0.000002
32.398226,0.000011
32.432323,-0.000015
32.466421,-0.000005
32.500519,0.000010
32.534616,-0.000001
32.568714,-0.000009
32.602812,-0.000018
32.636909,-0.000031
32.671007,-0.000023
32.705105,-0.000026
32.739202,-0.000023
32.773300,0.000005
32.807398,0.000013
32.841495,-0.000000
32.875593,-0.000003
32.909691,-0.000003
32.943788,-0.000024
32.977886,-0.000027
33.011984,-0.000017
33.046081,-0.000011
33.080179,-0.000014
33.114277,-0.000013
33.148374,-0.000004
33.182472,0.000002
33.216570,0.000011
33.250667,0.000021
33.284765,0.000017
33.318863,0.000006
33.352960,-0.000001
33.387058,0.000000
33.421156,-0.000014
33.455253,-0.000006
33.489351,-0.000002
33.523449,0.000002
33.557546,0.000007
33.591644,0.000012
33.625742,-0.000004
33.659839,0.000004
33.693937,0.000007
33.728035,0.000002
33.762132,0.000003
33.796230,-0.000008
33.830328,0.000004
33.864425,0.000002
33.898523,-0.000010
33.932621,-0.000006
33.966718,-0.000005
34.000816,-0.000010
34.034914,-0.000011
34.069011,-0.000023
34.103109,-0.000028
34.137207,-0.000003
34.171304,0.000009
34.205402,0.000014
34.239500,0.000024
34.273597,0.000022
34.307695,0.000003
34.341793,0.000008
34.375890,0.000007
34.409988,0.000007
34.444086,-0.000004
34.478183,0.000007
34.512281,0.000014
34.546379,0.000010
34.580476,0.000015
34.614574,0.000009
34.648672,0.000003
34.682769,0.000014
34.716867,0.000021
34.750965,0.000017
34.785062,0.000015
34.819160,-0.000001
34.853258,-0.000010
34.887355,-0.000015
34.921453,-0.000002
34.955551,-0.000007
34.989648,-0.000020
35.023746,-0.000013
35.057844,-0.000017
35.091941,0.000004
35.126039,0.000002
35.160137,0.000005
35.194234,0.000001
35.228332,-0.000010
35.262430,-0.000022
35.296527,-0.000013
35.330625,-0.000005
35.364723,-0.000022
35.398820,-0.000021
35.432918,-0.000006
35.467016,0.000007
35.501113,-0.000019
35.535211,0.000001
35.569309,0.000001
35.603406,0.000029
35.637504,0.000032
35.671602,0.000016
35.705700,0.000010
35.739797,0.000014
35.773895,0.000003
35.807993,0.000003
35.842090,-0.000002
35.876188,0.000003
35.910286,-0.000007
35.944383,-0.000016
35.978481,-0.000010
36.012579,0.000003
36.046676,0.000012
36.080774,0.000016
36.114872,0.000022
36.148969,0.000019
36.183067,0.000009
36.217165,0.000000
36.251262,-0.000001
36.285360,-0.000009
36.319458,-0.000043
36.353555,-0.000013
36.387653,-0.000022
36.421751,-0.000014
36.455848,-0.000034
36.489946,-0.000026
36.524044,-0.000013
36.558141,0.000003
36.592239,0.000008
36.626337,-0.000001
36.660434,-0.000005
36.694532,-0.000012
36.728630,-0.000009
36.762727,-0.000010
36.796825,-0.000010
36.830923,-0.000005
36.865020,-0.000011
36.899118,-0.000016
36.933216,-0.000006
36.967313,0.000008
37.001411,0.000005
37.035509,0.000020
37.069606,0.000025
37.103704,0.000017
37.137802,-0.000005
37.171899,0.000012
37.205997,0.000017
37.240095,0.000007
37.274192,0.000024
37.308290,0.000008
37.342388,0.000029
37.376485,0.000000
37.410583,-0.000000
37.444681,0.000003
37.478778,0.000027
37.512876,0.000022
37.546974,0.000014
37.581071,0.000004
37.615169,0.000010
37.649267,0.000015
37.683364,0.000013
37.717462,-0.000002
37.751560,-0.000016
37.785657,-0.000003
37.819755,-0.000004
37.853853,-0.000026
37.887950,-0.000016
37.922048,-0.000001
37.956146,0.000006
37.990243,0.000000
38.024341,0.000022
38.058439,0.000024
38.092536,-0.000001
38.126634,-0.000020
38.160732,-0.000028
38.194829,-0.000043
38.228927,-0.000045
38.263025,-0.000028
38.297122,-0.000024
38.331220,-0.000028
38.365318,-0.000014
38.399415,-0.000004
38.433513,0.000009
38.467611,0.000033
38.501708,0.000006
38.535806,-0.000021
38.569904,-0.000001
38.604001,-0.000001
38.638099,-0.000019
38.672197,-0.000037
38.706294,-0.000027
38.740392,-0.000010
38.774490,0.000002
38.808587,0.000002
38.842685,0.000011
38.876783,0.000026
38.910880,0.000032
38.944978,0.000063
38.979076,0.000038
39.013173,0.000040
39.047271,0.000018
39.081369,0.000020
39.115466,0.000020
39.149564,0.000010
39.183662,0.000020
39.217759,0.000024
39.251857,0.000006
39.285955,-0.000007
39.320052,-0.000010
39.354150,-0.000007
